,anio,eleccion,partido,pais,puesto,votos,censo
334,2010,CmaraNegritudes,VOTOSBLANCOS,FILIPINAS,ManilaEmbajada,1,49
335,2010,CmaraNegritudes,VOTOSBLANCOS,FRANCIA,ParisEmbajada,1,1145
336,2010,CmaraNegritudes,VOTOSBLANCOS,INGLATERRA,LondresConsulado,6,7055
337,2010,CmaraNegritudes,VOTOSBLANCOS,MEXICO,MonterreyConsulado,1,274
338,2010,CmaraNegritudes,VOTOSBLANCOS,PAISESBAJOSARUBA,OranjestadConsulado,4,2517
339,2010,CmaraNegritudes,VOTOSBLANCOS,PANAMA,DavidConsulado,2,232
340,2010,CmaraNegritudes,VOTOSBLANCOS,PUERTORICO,Mayaguez,1,102
341,2010,CmaraNegritudes,VOTOSBLANCOS,REPUBLICADOMINICANA,SantoDomingoEmbajada,1,1558
342,2010,CmaraNegritudes,VOTOSBLANCOS,SUIZA,BernaConsulado,4,1054
343,2010,CmaraNegritudes,VOTOSBLANCOS,URUGUAY,MontevideoConsulado,2,290
344,2010,CmaraNegritudes,VOTOSBLANCOS,VENEZUELA,CaracasConsulado,40,28288
345,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,ALEMANIA,BerlinEmbajada,14,608
346,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,ARGENTINA,BuenosAiresConsulado,16,2859
347,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,AUSTRALIA,Brisbane,6,491
348,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,BELGICA,BruselasConsulado,5,1004
349,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,BRASIL,RiodeJaneiroConsulado,2,209
350,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,CANADA,MontrealConsulado,55,3397
351,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,CHILE,SantiagoConsulado,2,2163
352,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,COREADELSUR,SeulEmbajada,1,67
353,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,COSTARICA,SanJoseEmbajada,3,6350
354,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,CUBA,LaHabanaConsulado,3,230
355,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,ECUADOR,QuitoConsulado,21,4302
356,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,EGIPTO,ElCairoEmbajada,1,95
357,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,ESPANA,BarcelonaConsulado,50,11766
358,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,ESTADOSUNIDOS,AtlantaConsulado,97,5907
359,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,FRANCIA,ParisEmbajada,16,1145
360,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,HOLANDA,LaHayaConsulado,6,410
361,2010,CmaraTerritorial,ALIANZASOCIALINDIGENA,HONDURAS,TegucigalpaEmbajada,2,378
