anio,elec,partido,nomcandi,nomdepto,votos,censo
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,ATLANTICO,66412,226690
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,BOGOTA,413670,35871
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,BOLIVAR,34921,307993
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,BOYACA,40768,505266
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,CALDAS,47844,228691
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,CAQUETA,3743,128047
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,CASANARE,6951,112088
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,CAUCA,12449,265829
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,CESAR,13882,235745
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,CHOCO,2265,99267
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,CONSULADOS,4429,95967
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,CORDOBA,15106,281242
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,CUNDINAMARCA,81145,763215
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,GUAINIA,940,17117
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,GUAVIARE,564,20522
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,HUILA,20006,256389
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,LAGUAJIRA,4807,132627
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,MAGDALENA,15230,210242
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,META,26439,165739
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,NARINO,26576,330115
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,NORTEDESANTANDER,43191,227884
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,PUTUMAYO,1338,107826
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,QUINDIO,23301,76812
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,RISARALDA,35928,110026
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,SANTANDER,90253,405174
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,SUCRE,13168,213560
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,TOLIMA,34873,316808
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,VALLEDELCAUCA,131904,300228
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,VAUPES,366,12425
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,VICHADA,529,25392
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,AMAZONAS,888,14099
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,ANTIOQUIA,174053,992439
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,ARAUCA,1985,48663
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,ARCHIPIELAGODESANANDRES,478,19695
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,ATLANTICO,26656,226690
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,BOGOTA,122209,35871
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,BOLIVAR,10885,307993
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,BOYACA,28202,505266
2010,Presidencia1eravuelta,PARTIDOCONSERVADORCOLOMBIANO,NOEMSANN,CALDAS,49572,228691
